ID,3TC,ABC,AZT,D4T,DDC,DDI,DLV,EFV,NVP,TDF,FTC
2616,78.4,6.6,5.9,0.9,3.6,1.3,0.5,1.1,4.2,,
2868,78.4,6.7,11.6,1.4,2.9,3.7,86.7,2.7,107.8,,
2905,2.1,1.4,1.3,1.5,3.0,1.5,1.0,1.2,2.1,,
2930,78.4,4.0,1.5,0.9,1.4,0.8,4.0,2.5,3.8,,
2986,65.4,1.5,0.8,0.9,2.4,1.1,88.7,45.0,79.4,,
3811,4.0,3.9,100.0,7.9,1.5,3.5,1.2,0.5,2.6,,
3817,78.4,12.0,35.6,,,3.7,1.1,10.7,107.8,,
3819,65.4,2.4,3.7,3.0,2.5,0.6,1.3,1.1,1.1,,
3827,0.3,0.7,1.4,0.5,0.6,0.9,0.9,0.7,0.5,,
3831,66.8,3.7,7.4,2.9,2.7,1.5,1.4,17.7,105.9,,
3833,44.0,3.4,1.8,2.5,3.4,1.4,195.3,34.3,98.4,,
3838,78.4,19.8,100.0,8.0,8.8,6.8,133.0,126.0,107.8,,
3849,78.4,5.7,44.7,3.7,3.6,2.6,1.1,1.3,2.5,,
3851,68.8,3.7,4.2,0.7,2.8,3.3,1.4,2.0,3.6,,
3855,68.8,5.9,58.7,6.1,2.9,2.9,14.8,2.2,3.0,,
3868,4.0,2.6,81.2,1.5,1.5,1.8,0.6,0.6,0.5,,
3870,78.4,,1.7,1.7,3.0,1.2,,1.7,6.0,,
3884,65.4,3.9,2.7,1.0,3.6,2.4,3.6,1.2,2.4,,
3886,65.4,6.6,60.1,2.4,3.7,4.1,0.6,0.8,3.1,,
3890,69.0,10.2,9.4,3.1,5.5,2.0,1.1,1.2,2.1,,
3892,69.0,12.7,6.8,3.3,5.7,4.2,0.2,0.5,0.5,,
3894,1.4,1.9,21.3,0.8,0.4,0.6,0.1,0.5,0.7,,
3896,65.4,6.1,34.3,1.3,3.1,2.3,0.8,0.6,0.6,,
3900,65.4,2.8,2.0,0.6,2.4,1.7,0.3,0.6,0.8,,
3904,57.1,11.3,8.4,0.6,3.4,3.4,2.8,2.8,8.4,,
3917,78.4,2.1,0.7,0.9,1.9,1.8,1.0,2.9,0.9,,
3919,44.0,4.6,4.6,4.8,1.5,6.4,0.4,0.5,0.5,,
3923,78.4,4.0,3.7,2.2,2.6,1.9,1.8,31.5,107.8,,
3925,65.4,1.7,7.8,3.2,3.6,2.3,1.0,1.0,0.4,,
3927,69.0,3.5,1.7,0.9,2.1,2.2,1.2,0.7,0.5,,
3929,65.4,2.8,5.9,1.2,4.6,1.7,0.9,0.6,0.7,,
3959,78.4,12.3,20.8,2.0,3.3,2.9,0.5,1.2,1.7,,
3964,44.0,7.9,158.2,4.7,1.7,9.6,0.6,0.8,0.5,,
3967,78.4,1.9,8.7,1.8,5.4,7.0,0.8,0.9,3.3,,
4471,68.8,2.5,4.9,1.1,4.0,3.8,2.7,16.2,73.5,,
4479,0.8,0.9,131.8,0.7,0.4,1.3,3.1,119.8,98.4,,
9576,6.0,3.0,2.0,2.0,2.0,2.0,,,,,
9607,4.0,2.0,10.0,1.0,1.0,1.0,,,,,
9608,1.0,1.0,8.0,1.0,1.0,1.0,,,,,
9609,20.0,5.0,220.0,5.0,4.0,2.0,,,,,
9610,15.0,5.0,2500.0,5.0,3.0,2.0,,,,,
11433,1.0,,1.0,,,,1.0,,1.0,,
11434,,,,,,,100.0,,2.0,,
11435,,,,,,,76.0,,43.0,,
11436,,,,,,,25.0,,70.0,,
11437,1.8,,1.0,,,,83.0,,70.0,,
11438,,,,,,,5.3,,70.0,,
11586,,,,,,,0.2,,70.0,,
11587,1.5,,0.1,,,,1.0,,12.0,,
11588,,,,,,,0.2,,4.0,,
11589,2.5,,1.0,,,,2.0,,0.5,,
11590,,,,,,,83.0,,3.0,,
11591,,,,,,,83.0,,70.0,,
11592,1.3,,0.5,,,,6.0,,70.0,,
11598,45.0,,1.0,,,,,,,,
11599,1.6,,2.0,,,,,,,,
11600,5.5,,5.0,,,,,,,,
11601,2.7,,1.0,,,,,,,,
11795,7.0,5.0,17.0,13.0,7.0,22.0,,,,,
12964,4.0,,64.0,,,,,,,,
12965,2.0,,45.0,,,,,,,,
12966,4.0,,46.0,,,,,,,,
12967,1.0,,2.0,,,,,,,,
12968,22.0,,48.0,,,,,,,,
12969,8.0,,49.0,,,,,,,,
12970,2.0,,2.0,,,,,,,,
12971,7.0,,49.0,,,,,,,,
12972,32.0,,34.0,,,,,,,,
12973,3.0,,1.0,,,,,,,,
12974,14.0,,49.0,,,,,,,,
12975,15.0,,49.0,,,,,,,,
12976,78.0,,7.0,,,,,,,,
12977,82.0,,2.0,,,,,,,,
12978,85.0,,27.0,,,,,,,,
12979,72.0,,25.0,,,,,,,,
12980,82.0,,20.0,,,,,,,,
12981,84.0,,21.0,,,,,,,,
14405,21.2,4.4,0.7,1.2,4.7,3.0,,,,,
14418,23.6,6.4,0.5,1.8,4.1,4.1,,,,,
14419,32.5,10.5,0.8,2.7,4.8,13.1,,,,,
14421,1.4,1.0,1.4,0.8,1.2,0.8,,,,,
14425,24.1,3.2,0.4,0.5,0.7,0.9,,,,,
14429,43.3,3.8,5.2,2.2,7.0,7.5,,,,,
14432,43.3,1.7,1.2,0.7,1.5,1.7,,,,,
14435,43.3,1.7,1.3,0.8,2.7,2.2,,,,,
14440,34.4,2.3,1.0,0.8,1.9,1.3,,,,,
14442,23.6,9.5,0.7,1.4,5.0,3.4,,,,,
14448,29.8,1.9,0.2,0.4,1.3,1.5,,,,,
14456,24.1,6.2,1.0,0.6,5.5,4.2,,,,,
14458,0.4,0.5,0.2,0.1,0.5,0.2,,,,,
14462,43.3,1.9,7.1,1.8,2.1,1.0,,,,,
14464,21.8,0.9,0.6,0.6,0.9,1.1,,,,,
14468,0.9,1.3,1.5,1.5,0.7,0.7,,,,,
14473,43.3,7.7,0.6,0.2,0.9,1.5,,,,,
14476,90.0,40.0,1.5,1.7,5.4,6.0,,,,,
14478,90.0,40.0,260.0,15.0,33.0,48.0,,,,,
14479,1.3,1.1,0.7,2.2,3.7,3.4,,,,,
14481,2.1,1.2,1.7,2.9,1.1,1.1,,,,,
14486,43.3,1.2,0.3,0.1,0.4,1.2,,,,,
14496,32.5,5.9,0.5,0.8,10.9,23.4,,,,,
14501,21.8,1.5,0.4,0.4,2.8,1.2,,,,,
14506,43.3,2.8,1.1,0.5,3.5,5.1,,,,,
14513,0.9,0.9,0.4,0.6,1.0,1.0,,,,,
14514,37.0,5.4,0.7,1.6,4.8,5.8,,,,,
14517,7.6,0.6,29.1,0.2,0.4,0.6,,,,,
15331,1.0,4.4,26.0,2.6,0.8,0.9,,,,,
