ID,3BNC117,8ANC131,VRC03,CH103,2F5,VRC06,VRC-PG20,VRC-PG04,17b,PG16,VRC01,8ANC195,VRC-CH31,b12,b13,NIH45-46,10E8,VRC23,4E10,F105,PG9
HM215326,50,50,50,0.407,50,50,50,50,50,50,50,50,50,50,50,50,2.510,50,7.950,50,50
AY835449,0.039,0.052,0.036,0.017,0.300,5.11,0.018,0.023,50,0.005,0.046,0.135,0.049,1.700,50,0.011,0.125,30.000,0.167,50,0.005
AF407159,0.006,0.034,0.025,N/A,50,0.109,0.015,0.017,50,0.002,0.026,0.128,0.015,50,50,0.019,0.214,0.476,1.170,50,0.002
EU683891,0.028,14.100,50,3.670,1.95,50,0.081,50,50,50,6.090,50,50,50,50,47.80,0.378,50,2.370,50,0.195
AY124979,0.135,1.770,3.230,0.157,0.675,50,50,1.340,50,50,1.320,0.178,1.340,0.192,50,0.362,0.099,14.30,2.010,50,50
EF117265,50,50,0.012,5.880,50,1.70,0.040,50,50,50,0.242,50,50,50,50,0.015,0.329,50,1.430,50,49.0
JN944660,0.096,50,50,0.457,0.056,50,1.990,2.250,50,0.001,0.630,0.085,1.270,50,50,0.539,0.076,32.40,0.598,50,0.004
EF117269,29.600,50,50,50,50,50,31.900,50,50,27.8,6.200,10.400,6.430,50,50,3.190,0.140,50,0.459,50,2.38
JX512903,0.020,50,50,50,50,50,0.120,50,50,0.036,0.054,50,0.402,50,50,0.019,0.487,50,15.600,50,1.30
AY835442,0.038,0.271,0.022,0.113,25.3,0.352,1.030,0.131,11.900,0.069,0.175,0.812,0.110,0.780,1.990,0.047,0.305,1.480,0.686,6.24,0.293
AF407156,0.069,1.260,50,4.890,13.4,50,0.126,0.271,50,4.11,0.339,1.720,0.159,50,50,0.212,2.000,7.930,5.530,50,3.01
HM215400,0.024,5.190,0.322,0.093,5.68,50,50,50,50,50,0.285,1.010,0.388,8.280,50,0.091,0.151,50,2.520,50,50
HM215401,50,25.900,0.422,0.384,50,50,0.239,0.095,50,0.023,0.153,50,3.270,6.910,50,0.052,1.080,1.450,3.360,50,0.023
HM215399,0.085,1.420,0.159,0.211,5.02,50,50,0.258,50,50,0.867,1.790,0.536,50,50,0.516,0.292,50,1.110,50,50
EU885764,50,0.630,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
HM215397,0.050,0.941,0.289,50,1.10,13.2,50,0.474,50,9.17,0.408,50,0.198,50,50,0.173,0.051,17.600,0.307,50,0.243
EU513188,50,50,50,7.710,1.06,50,50,50,50,0.023,50,2.020,50,50,50,50,1.080,N/A,50,50,0.025
AY835439,0.275,2.630,0.471,0.266,2.22,7.22,45.300,1.270,50,50,1.840,3.170,0.944,0.790,50,0.991,0.620,9.370,1.600,50,50
EU513189,50,50,50,50,2.93,50,0.066,50,50,0.0006,50,50,50,50,50,50,0.071,50,0.361,50,0.0006
EF117274,0.043,11.000,50,0.097,50,50,0.069,0.256,50,1.95,0.202,50,0.096,1.440,50,0.115,1.320,1.890,4.200,50,0.142
DQ388517,0.202,50,50,0.761,50,50,50,50,50,0.023,2.240,23.400,50,50,50,5.440,0.181,50,2.06,50,0.023
JQ715405,0.040,1.990,20.70,0.254,2.24,50,0.077,0.06,50,0.678,0.218,0.946,0.068,0.787,50,0.246,1.230,0.638,1.63,50,0.367
JQ715402,0.417,3.280,0.415,0.741,2.01,1.41,0.225,0.711,50,0.0006,0.858,50,0.513,49.200,50,0.828,2.160,50,8.460,50,0.001
U51190,0.020,0.187,50,50,0.202,50,0.021,0.047,50,0.001,0.135,0.701,0.047,50,50,0.056,0.250,0.780,0.504,50,0.021
HM215330,50,50,50,50,40.0,50,0.180,50,50,0.017,50,50,50,23.700,48.50,50,1.540,50,14.300,50,0.035
HM215356,0.512,5.090,50,2.780,50,50,50,6.410,50,50,2.940,0.070,1.450,0.687,50,50,0.394,50,3.120,50,50
JQ362424,45.900,50,2.280,0.129,50,50,0.055,0.054,50,0.025,0.070,50,0.15,50,50,0.011,1.850,0.347,2.320,50,0.266
DQ435682,0.589,50,50,1.380,50,50,0.946,50,50,0.023,8.320,50,50,0.114,50,50,0.248,50,2.360,50,0.023
HM215306,50,1.310,50,50,3.88,50,0.031,50,50,0.019,0.188,50,0.094,12.100,50,0.871,0.936,0.709,8.55,50,0.050
AY835452,0.673,1.720,8.990,0.764,11.6,1.950,0.514,2.550,50,7.43,1.280,50,50,50,50,0.205,1.150,12.00,8.490,50,13.0
